"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes","Site2","Site.match"
11,"2008-09-26",2534,"Bond-Lamberty",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1981","CA-BND-20YRPD",2001.5,1.5,55.86,-98.48,"","None","",NA,"20","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Mixed Forest","Natural","Mixed","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,3,854.87,"",30,0.35,"Exclusion",570,NA,NA,NA,216,354,0.38,NA,NA,NA,NA,3.2,NA,NA,0.37,"Growing",NA,NA,310,584,556.1,27.9,27.4,NA,6.1,27.4,33.5,NA,0.1,0.2,750,360,390,260,130,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.86 -98.48","55.75 -98.25"
12,"2008-09-26",2534,"Bond-Lamberty",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1964","CA-BND-37YRPD",2001.5,1.5,55.92,-98.39,"","None","",NA,"37","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Evergreen Forest","Natural","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,3,854.87,"",30,0.35,"Exclusion",397,NA,NA,NA,67,330,0.17,NA,NA,NA,NA,2.08,NA,NA,0.15,"Growing",NA,NA,174,429,379.6,49.4,20.3,NA,5.2,20.3,25.5,NA,0.3,2.2,2150,1800,350,200,150,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.92 -98.39","55.75 -98.25"
13,"2008-09-26",2534,"Bond-Lamberty",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1930","CA-BND-71YRPD",2001.5,1.5,55.91,-98.51,"","None","",NA,"71","Picea mariana","Boreal","Evergreen Forest","Natural","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,3,854.87,"",30,0.35,"Exclusion",338,NA,NA,NA,48,290,0.14,NA,NA,NA,NA,1.6,NA,NA,0.18,"Growing",NA,NA,94,326,233.1,93,42,NA,19.8,42,61.8,NA,3,20.3,3880,3400,480,340,140,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.91 -98.51","55.75 -98.75"
14,"2008-09-26",2534,"Bond-Lamberty",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1850; NOBS","CA-BND-151YRPD",2001.5,1.5,55.88,-98.48,"","None","",NA,"151","Picea mariana","Boreal","Evergreen Forest","Natural","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,3,854.87,"",30,0.35,"Exclusion",375,NA,NA,NA,23,352,0.06,NA,NA,NA,NA,1.67,NA,NA,0.21,"Growing",NA,NA,11,262,216.4,45.6,16.8,NA,13.4,16.8,30.2,NA,1.1,16.6,3450,3100,350,250,100,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.88 -98.48","55.75 -98.25"
15,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1998","CA-BND-3YRWD",1999.5,1.5,56.63,-99.94,"","None","",NA,"3","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Evergreen Forest","Natural","Evergreen","Aggrading","Gray luvisol (Boralf)","Medium",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,"",NA,NA,-136,111,106,5,5,NA,0,5,5,NA,0,0,200,80,120,70,50,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","56.63 -99.94","56.75 -99.75"
16,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1995","CA-BND-6YRWD",1999.5,1.5,56.46,-99.97,"","None","",NA,"6","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Deciduous Forest","Natural","Deciduous","Aggrading","Gray luvisol (Boralf)","Dry",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,-134,188.5,183.5,20.3,20.3,NA,2,20.3,22.3,NA,0.1,0.5,160,90,70,40,30,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","56.46 -99.97","56.25 -99.75"
17,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1989","CA-BND-12YRWD",1999.5,1.5,55.91,-98.98,"","None","",NA,"12","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Deciduous Forest","Natural","Deciduous","Aggrading","Gray luvisol (Boralf)","Medium",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,-2,366.5,354.1,12.8,12.8,NA,17.5,12.8,30.3,NA,0,0,520,400,120,70,50,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.91 -98.98","55.75 -98.75"
18,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1981","CA-BND-20YRWD",1999.5,1.5,55.86,-98.48,"","None","",NA,"20","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Mixed Forest","Natural","Mixed","Aggrading","Gray luvisol (Boralf)","Dry",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,43,403,363.4,39.7,22.6,NA,31.3,22.6,53.9,NA,0.9,4.1,1050,700,350,230,120,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.86 -98.48","55.75 -98.25"
19,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1964","CA-BND-37YRWD",1999.5,1.5,55.92,-98.39,"","None","",NA,"37","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Evergreen Forest","Natural","Evergreen","Aggrading","Gray luvisol (Boralf)","Medium",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,97,432,377.2,54.9,36,NA,30.8,36,66.8,NA,1.8,11.6,2300,1500,800,600,200,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.92 -98.39","55.75 -98.25"
20,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1930","CA-BND-71YRWD",1999.5,1.5,55.91,-98.52,"","None","",NA,"71","Picea mariana","Boreal","Evergreen Forest","Natural","Evergreen","Mature","Gray luvisol (Boralf)","Medium",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,112,362,202.6,159.4,78.7,NA,59.6,78.7,138.3,NA,6.8,36.7,6720,5500,1220,970,250,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.91 -98.52","55.75 -98.75"
21,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-D1850; NOBS","CA-BND-151YRWD",1999.5,1.5,55.88,-98.48,"","None","",NA,"151","Picea mariana","Boreal","Evergreen Forest","Natural","Evergreen","Mature","Gray luvisol (Boralf)","Medium",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,-19,211,147.1,74.5,74.5,NA,33.5,74.5,108,NA,5.3,42.2,8530,7100,1430,1230,200,NA,41800,70,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.88 -98.48","55.75 -98.25"
22,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1998","CA-BND-3YRPD",1999.5,1.5,56.63,-99.94,"","None","",NA,"3","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Evergreen Forest","Natural","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,"",NA,NA,-76,74,68,6,4.3,NA,0,4.3,4.3,NA,0,0,90,20,70,40,30,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","56.63 -99.94","56.75 -99.75"
23,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1995","CA-BND-6YRPD",1999.5,1.5,56.46,-99.98,"","None","",NA,"6","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Deciduous Forest","Natural","Deciduous","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,131,490,456.4,34.6,34.6,NA,1,34.6,35.6,NA,0,0,550,100,450,300,150,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","56.46 -99.98","56.25 -99.75"
24,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1989","CA-BND-12YRPD",1999.5,1.5,55.9,-98.98,"","None","",NA,"12","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Deciduous Forest","Natural","Deciduous","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,-30,261,223.3,37.7,30.6,NA,5.2,30.6,35.8,NA,0,0,740,350,390,260,130,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.9 -98.98","55.75 -98.75"
25,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1981","CA-BND-20YRPD",1999.5,1.5,55.86,-98.48,"","None","",NA,"20","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Mixed Forest","Natural","Mixed","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,310,584,556.1,27.9,27.4,NA,6.1,27.4,33.5,NA,0.1,0.2,750,360,390,260,130,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.86 -98.48","55.75 -98.25"
26,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1964","CA-BND-37YRPD",1999.5,1.5,55.92,-98.39,"","None","",NA,"37","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Evergreen Forest","Natural","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,174,429,379.6,49.4,20.3,NA,5.2,20.3,25.5,NA,0.3,2.2,2150,1800,350,200,150,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.92 -98.39","55.75 -98.25"
27,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1930","CA-BND-71YRPD",1999.5,1.5,55.91,-98.51,"","None","",NA,"71","Picea mariana","Boreal","Evergreen Forest","Natural","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,94,326,233.1,93,42,NA,19.8,42,61.8,NA,3,20.3,3880,3400,480,340,140,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.91 -98.51","55.75 -98.75"
28,"2008-09-26",2182,"Wang",NA,"Q02","BBL","Canada","Manitoba","BOREAS NSA-W1850; NOBS","CA-BND-151YRPD",1999.5,1.5,55.88,-98.48,"","None","",NA,"151","Picea mariana","Boreal","Evergreen Forest","Natural","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet",NA,NA,NA,NA,NA,0.8,450,NA,NA,"","IRGA",5,4,452.16,"",30,1,"",264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,"",NA,NA,11,262,216.4,45.6,16.8,NA,13.4,16.8,30.2,NA,1.1,16.6,3450,3100,350,250,100,NA,NA,NA,"LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)","55.88 -98.48","55.75 -98.25"
29,"2008-10-01",469,"Ewel",NA,"Q02","BBL","USA","Florida","Ewel9","US-FBF-EWEL9",1984,1,29.95,-82.11,"","None","",NA,"9","Pinus elliottii","Temperate","Evergreen Forest","Managed","Evergreen","Aggrading","Ultic Haplaquod","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,NA,"",30,1,"Exclusion",850,NA,NA,NA,434,417,0.51,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11900,100,"Litter data are from Gholz 1985, different sites","29.95 -82.11","29.75 -82.25"
30,"2008-10-01",469,"Ewel",NA,"Q02","BBL","USA","Florida","Ewel29","US-FBF-EWEL29",1984,1,29.95,-82.11,"","None","",NA,"29","Pinus elliottii","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Ultic Haplaquod","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,NA,"",30,1,"Exclusion",1300,NA,NA,NA,806,494,0.62,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10300,100,"Litter data are from Gholz 1985, different sites","29.95 -82.11","29.75 -82.25"
31,"2008-10-01",148,"Edwards",NA,"Q01","BBL","USA","Tennessee","Oak Ridge","US-TOR",1977,1,35.99,-84.29,"","None","",NA,"50","Liriodendron tulipifera","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Emory cherty silt loam","Dry",NA,NA,NA,NA,NA,13.3,1265,NA,NA,"","IRGA",NA,NA,NA,"",14,1,"Extraction",1065,NA,NA,NA,373,692,0.35,NA,NA,NA,NA,NA,NA,NA,NA,"",1750,NA,NA,NA,NA,NA,450,NA,161,450,611,NA,NA,NA,NA,NA,NA,NA,340,NA,12850,60,"Site previously desribed by Sollins (1973) and Reichle (1973); Rs_max estimated from figure","35.99 -84.29","35.75 -84.25"
32,"2008-10-01",4179,"Edwards",NA,"","BBL","USA","Tennessee","Oak Ridge","US-OAR",1977,1,35.99,-84.29,"","None","",NA,"50","Liriodendron tulipifera","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Emory cherty silt loam","Dry",NA,NA,NA,NA,NA,13.3,1265,NA,NA,"","IRGA",13,NA,522,"",NA,1,"",1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1750,NA,NA,NA,NA,NA,450,NA,161,450,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","35.99 -84.29","35.75 -84.25"
33,"2008-10-01",951,"Haynes",NA,"Q10","BBL","USA","Wisconsin","Haynes1","US-BOJ-CK",1991,1,46.17,-89.67,"","None","",NA,"31","Pinus resinosa","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Haplorthod (loamy fine sand)","Dry",NA,NA,NA,NA,NA,4.2,586,NA,NA,"","Alkali absorption",NA,NA,615.44,"",30,0.6,"Exclusion",541,30,29,NA,362,496,0.42,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,215.5,758,146,205.2,351.2,NA,NA,42.4,NA,NA,NA,NA,431,NA,NA,NA,"Model units corrected from mg CO2/m2/hr","46.17 -89.67","46.25 -89.75"
34,"2008-10-01",951,"Haynes",NA,"Q10","BBL","USA","Wisconsin","Haynes1","US-BOJ-300N",1991,1,46.17,-89.67,"","Fertilization","300 kgN/ha/yr",NA,"31","Pinus resinosa","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Haplorthod (loamy fine sand)","Dry",NA,NA,NA,NA,NA,4.2,586,NA,NA,"","Alkali absorption",NA,NA,615.44,"",30,0.6,"Exclusion",478,17,54,NA,88,390,0.18,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,215.5,535,162,0,162,NA,NA,38.8,NA,NA,NA,NA,431,NA,NA,NA,"Model units corrected from mg CO2/m2/hr","46.17 -89.67","46.25 -89.75"
